genus,species,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date
Pseudomonas,aeruginosa,GCA_000795525.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,NA,India,2010
Pseudomonas,aeruginosa,GCA_000795535.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Venezuela,2012
Pseudomonas,aeruginosa,GCA_000795565.1,Susceptible,meropenem,==,2,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,NA,India,2010
Pseudomonas,aeruginosa,GCA_000795585.1,Susceptible,meropenem,==,2,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,NA,China,2010
Pseudomonas,aeruginosa,GCA_000795605.1,Resistant,meropenem,==,16,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,respiratory tract infection,USA,2012
Pseudomonas,aeruginosa,GCA_000795625.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,NA,Mexico,2010
Pseudomonas,aeruginosa,GCA_000795635.1,Resistant,meropenem,==,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,NA,Portugal,2010
Pseudomonas,aeruginosa,GCA_000795665.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,NA,Romania,2010
Pseudomonas,aeruginosa,GCA_000795685.1,Resistant,meropenem,==,16,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,NA,Argentina,2010
Pseudomonas,aeruginosa,GCA_000795705.1,Resistant,meropenem,==,8,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,respiratory tract infection,Italy,2012
Pseudomonas,aeruginosa,GCA_000795725.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,NA,Mexico,2010
Pseudomonas,aeruginosa,GCA_000795735.1,Susceptible,meropenem,==,0.25,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,itra-abdominal tract infection,France,2010
Pseudomonas,aeruginosa,GCA_000795785.1,Resistant,meropenem,==,8,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,China,2010
Pseudomonas,aeruginosa,GCA_000795805.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,urinary tract infection,Greece,2012
Pseudomonas,aeruginosa,GCA_000795815.1,Resistant,meropenem,==,16,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Greece,2012
Pseudomonas,aeruginosa,GCA_000795845.1,Resistant,meropenem,>,8,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Hong Kong,2010
Pseudomonas,aeruginosa,GCA_000795865.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Italy,2012
Pseudomonas,aeruginosa,GCA_000795875.1,Resistant,meropenem,==,8,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,itra-abdominal tract infection,Germany,2010
Pseudomonas,aeruginosa,GCA_000795925.1,Resistant,meropenem,>,8,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,itra-abdominal tract infection,Germany,2010
Pseudomonas,aeruginosa,GCA_000795945.1,Resistant,meropenem,>,8,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Spain,2010
Pseudomonas,aeruginosa,GCA_000795955.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,urinary tract infection,Colombia,2012
Pseudomonas,aeruginosa,GCA_000795985.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,itra-abdominal tract infection,China,2011
Pseudomonas,aeruginosa,GCA_000796005.1,Susceptible,meropenem,==,0.125,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Spain,2011
Pseudomonas,aeruginosa,GCA_000796025.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,respiratory tract infection,Greece,2012
Pseudomonas,aeruginosa,GCA_000796045.1,Resistant,meropenem,>,8,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Spain,2011
Pseudomonas,aeruginosa,GCA_000796065.1,Susceptible,meropenem,==,0.06,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,itra-abdominal tract infection,Spain,2011
Pseudomonas,aeruginosa,GCA_000796085.1,Susceptible,meropenem,==,0.03,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,itra-abdominal tract infection,France,2011
Pseudomonas,aeruginosa,GCA_000796095.1,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Germany,2011
Pseudomonas,aeruginosa,GCA_000796125.1,Resistant,meropenem,>,8,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,France,2011
Pseudomonas,aeruginosa,GCA_000796145.1,Susceptible,meropenem,==,0.06,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,itra-abdominal tract infection,China,2012
Pseudomonas,aeruginosa,GCA_000796165.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Greece,2012
Pseudomonas,aeruginosa,GCA_000796175.1,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,itra-abdominal tract infection,Germany,2012
Pseudomonas,aeruginosa,GCA_000796205.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,urinary tract infection,Portugal,2009
Pseudomonas,aeruginosa,GCA_000796225.1,Resistant,meropenem,==,16,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,urinary tract infection,USA,2009
Pseudomonas,aeruginosa,GCA_000796245.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Colombia,2012
Pseudomonas,aeruginosa,GCA_000796255.1,Susceptible,meropenem,==,2,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,urinary tract infection,Canada,2010
Pseudomonas,aeruginosa,GCA_000796285.1,Resistant,meropenem,==,8,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,urinary tract infection,Taiwan,2010
Pseudomonas,aeruginosa,GCA_000796295.1,Resistant,meropenem,==,16,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,urinary tract infection,Taiwan,2010
Pseudomonas,aeruginosa,GCA_000796325.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,urinary tract infection,USA,2010
Pseudomonas,aeruginosa,GCA_000796345.1,Resistant,meropenem,==,32,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,urinary tract infection,USA,2011
Pseudomonas,aeruginosa,GCA_000796365.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,urinary tract infection,Colombia,2011
Pseudomonas,aeruginosa,GCA_000796385.1,Susceptible,meropenem,==,0.125,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,urinary tract infection,Spain,2011
Pseudomonas,aeruginosa,GCA_000796405.1,Resistant,meropenem,>,8,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,respiratory tract infection,France,2011
Pseudomonas,aeruginosa,GCA_000796425.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,urinary tract infection,France,2011
Pseudomonas,aeruginosa,GCA_000796445.1,Susceptible,meropenem,==,0.125,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,respiratory tract infection,Spain,2010
Pseudomonas,aeruginosa,GCA_000796465.1,Susceptible,meropenem,==,0.125,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,respiratory tract infection,Germany,2011
Pseudomonas,aeruginosa,GCA_000796475.1,Susceptible,meropenem,==,0.25,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,respiratory tract infection,Spain,2010
Pseudomonas,aeruginosa,GCA_000796505.1,Resistant,meropenem,>,8,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,respiratory tract infection,China,2010
Pseudomonas,aeruginosa,GCA_000796525.1,Susceptible,meropenem,==,0.12,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,cystic fibrosis isolate,USA,2005
Pseudomonas,aeruginosa,GCA_000796545.1,Susceptible,meropenem,==,0.12,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2005
Pseudomonas,aeruginosa,GCA_000796555.1,Susceptible,meropenem,==,0.015,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2005
Pseudomonas,aeruginosa,GCA_000796585.1,Resistant,meropenem,==,16,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2005
Pseudomonas,aeruginosa,GCA_000796615.1,Resistant,meropenem,==,16,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2005
Pseudomonas,aeruginosa,GCA_000796645.1,Resistant,meropenem,==,16,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Italy,2012
Pseudomonas,aeruginosa,GCA_000796655.1,Resistant,meropenem,==,16,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2005
Pseudomonas,aeruginosa,GCA_000796725.1,Resistant,meropenem,==,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Venezuela,2012
Pseudomonas,aeruginosa,GCA_000796745.1,Resistant,meropenem,==,16,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2005
Pseudomonas,aeruginosa,GCA_000796765.1,Susceptible,meropenem,==,0.25,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2005
Pseudomonas,aeruginosa,GCA_000796785.1,Resistant,meropenem,==,16,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2005
Pseudomonas,aeruginosa,GCA_000796795.1,Resistant,meropenem,==,32,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2005
Pseudomonas,aeruginosa,GCA_000796825.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2005
Pseudomonas,aeruginosa,GCA_000796845.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Venezuela,2012
Pseudomonas,aeruginosa,GCA_000796865.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,cystic fibrosis isolate,USA,2005
Pseudomonas,aeruginosa,GCA_000796945.1,Resistant,meropenem,==,8,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2005
Pseudomonas,aeruginosa,GCA_000796955.1,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2005
Pseudomonas,aeruginosa,GCA_000796985.1,Resistant,meropenem,==,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,cystic fibrosis isolate,USA,2005
Pseudomonas,aeruginosa,GCA_000797005.1,Susceptible,meropenem,==,0.03,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,cystic fibrosis isolate,USA,2007
Pseudomonas,aeruginosa,GCA_000797025.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,respiratory tract infection,Colombia,2012
Pseudomonas,aeruginosa,GCA_000797045.1,Susceptible,meropenem,==,0.25,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2007
Pseudomonas,aeruginosa,GCA_000797055.1,Susceptible,meropenem,==,0.12,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2007
Pseudomonas,aeruginosa,GCA_000797085.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Venezuela,2012
Pseudomonas,aeruginosa,GCA_000797105.1,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2007
Pseudomonas,aeruginosa,GCA_000797125.1,Resistant,meropenem,==,16,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2007
Pseudomonas,aeruginosa,GCA_000797145.1,Resistant,meropenem,==,16,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2007
Pseudomonas,aeruginosa,GCA_000797165.1,Resistant,meropenem,==,16,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2007
Pseudomonas,aeruginosa,GCA_000797205.1,Resistant,meropenem,==,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Venezuela,2012
Pseudomonas,aeruginosa,GCA_000797225.1,Susceptible,meropenem,==,0.12,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2007
Pseudomonas,aeruginosa,GCA_000797245.1,Susceptible,meropenem,==,0.12,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,cystic fibrosis isolate,USA,2007
Pseudomonas,aeruginosa,GCA_000797265.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2007
Pseudomonas,aeruginosa,GCA_000797285.1,Susceptible,meropenem,==,0.12,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,cystic fibrosis isolate,USA,2007
Pseudomonas,aeruginosa,GCA_000797305.1,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,cystic fibrosis isolate,USA,2007
Pseudomonas,aeruginosa,GCA_000797325.1,Susceptible,meropenem,==,0.25,mg/L,Broth dilution,Sensititre,CLSI,2013,25367914,cystic fibrosis isolate,USA,2007
Pseudomonas,aeruginosa,GCA_000797345.1,Susceptible,meropenem,==,2,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,itra-abdominal tract infection,Venezuela,2012
Pseudomonas,aeruginosa,GCA_000797355.1,Susceptible,meropenem,==,0.06,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,cystic fibrosis isolate,USA,2007
Pseudomonas,aeruginosa,GCA_000797395.1,Resistant,meropenem,>,32,mg/L,Broth dilution,Sensititre,CLSI,2013,27067331,respiratory tract infection,Canada,2009
Pseudomonas,aeruginosa,GCA_000937495.2,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,NA,NA,USA,NA
Pseudomonas,aeruginosa,GCA_001874955.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_002968515.1,Resistant,meropenem,==,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_002968655.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_002968695.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_002968755.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_002968955.1,Resistant,meropenem,==,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_002997005.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003000655.1,Resistant,meropenem,==,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003000695.1,Resistant,meropenem,==,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003000755.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003000795.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003073615.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003073695.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003073735.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003073795.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003073895.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003074095.1,Resistant,meropenem,==,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003074115.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003193645.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003204335.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003260415.1,Susceptible,meropenem,==,2,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003288335.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003288355.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003288435.1,Susceptible,meropenem,==,2,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003324255.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003324275.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003324295.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003324385.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003324405.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003324465.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003571805.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Pseudomonas,aeruginosa,GCA_003968015.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,bone,USA,2007
Pseudomonas,aeruginosa,GCA_003968025.1,Resistant,meropenem,==,8,mg/L,Broth dilution,NA,CLSI,NA,NA,urine,USA,2007
Pseudomonas,aeruginosa,GCA_003968035.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2010
Pseudomonas,aeruginosa,GCA_003968055.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,urine,USA,2007
Pseudomonas,aeruginosa,GCA_003968115.1,Resistant,meropenem,==,8,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2012
Pseudomonas,aeruginosa,GCA_003968125.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,wound,USA,2012
Pseudomonas,aeruginosa,GCA_003968135.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,urine,USA,2012
Pseudomonas,aeruginosa,GCA_003968155.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,wound,USA,2011
Pseudomonas,aeruginosa,GCA_003968165.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,sterile tissue,USA,2012
Pseudomonas,aeruginosa,GCA_003968215.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,wound,USA,2011
Pseudomonas,aeruginosa,GCA_003968225.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,urine,USA,2004
Pseudomonas,aeruginosa,GCA_003968235.1,Resistant,meropenem,==,8,mg/L,Broth dilution,NA,CLSI,NA,NA,sterile tissue,USA,2005
Pseudomonas,aeruginosa,GCA_003968275.1,Resistant,meropenem,==,8,mg/L,Broth dilution,NA,CLSI,NA,NA,urine,USA,2010
Pseudomonas,aeruginosa,GCA_003968295.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,wound,USA,2004
Pseudomonas,aeruginosa,GCA_003968315.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,sterile tissue,USA,2005
Pseudomonas,aeruginosa,GCA_003968325.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2017
Pseudomonas,aeruginosa,GCA_003968375.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2010
Pseudomonas,aeruginosa,GCA_003968385.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2013
Pseudomonas,aeruginosa,GCA_003968395.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2013
Pseudomonas,aeruginosa,GCA_003968425.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,urine,USA,2012
Pseudomonas,aeruginosa,GCA_003968445.1,Resistant,meropenem,==,8,mg/L,Broth dilution,NA,CLSI,NA,NA,urine,USA,2012
Pseudomonas,aeruginosa,GCA_003968475.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2012
Pseudomonas,aeruginosa,GCA_003968495.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,blood,USA,2012
Pseudomonas,aeruginosa,GCA_003968525.1,Susceptible,meropenem,==,2,mg/L,Broth dilution,NA,CLSI,NA,NA,urine,USA,2011
Pseudomonas,aeruginosa,GCA_003968535.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,sterile body fluid,USA,2005
Pseudomonas,aeruginosa,GCA_003968565.1,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2016
Pseudomonas,aeruginosa,GCA_003968585.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,wound,USA,2010
Pseudomonas,aeruginosa,GCA_003968625.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,NA,CLSI,NA,NA,sterile tissue,USA,2013
Pseudomonas,aeruginosa,GCA_003968895.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,urine,USA,2016
Pseudomonas,aeruginosa,GCA_003968935.1,Susceptible,meropenem,==,2,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2016
Pseudomonas,aeruginosa,GCA_003968965.1,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,Guam,2011
Pseudomonas,aeruginosa,GCA_003968985.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,urine,USA,2015
Pseudomonas,aeruginosa,GCA_003969035.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2014
Pseudomonas,aeruginosa,GCA_003969055.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2009
Pseudomonas,aeruginosa,GCA_003969065.1,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,NA,CLSI,NA,NA,urine,USA,2011
Pseudomonas,aeruginosa,GCA_003969075.1,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,NA,CLSI,NA,NA,wound,USA,2011
Pseudomonas,aeruginosa,GCA_003969095.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2014
Pseudomonas,aeruginosa,GCA_003969105.1,Susceptible,meropenem,==,2,mg/L,Broth dilution,NA,CLSI,NA,NA,groin,Afghanistan,2013
Pseudomonas,aeruginosa,GCA_003969155.1,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,NA,CLSI,NA,NA,wound,USA,2010
Pseudomonas,aeruginosa,GCA_003969165.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,NA,CLSI,NA,NA,groin,USA,2010
Pseudomonas,aeruginosa,GCA_003969195.1,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,NA,CLSI,NA,NA,groin,USA,2010
Pseudomonas,aeruginosa,GCA_003969225.1,Susceptible,meropenem,==,2,mg/L,Broth dilution,NA,CLSI,NA,NA,groin,USA,2010
Pseudomonas,aeruginosa,GCA_003969255.1,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2013
Pseudomonas,aeruginosa,GCA_003969265.1,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,NA,CLSI,NA,NA,wound,USA,2013
Pseudomonas,aeruginosa,GCA_003969295.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,sterile tissue,USA,2013
Pseudomonas,aeruginosa,GCA_003969305.1,Resistant,meropenem,==,8,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2013
Pseudomonas,aeruginosa,GCA_003969315.1,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,NA,CLSI,NA,NA,urine,USA,2010
Pseudomonas,aeruginosa,GCA_003969355.1,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2013
Pseudomonas,aeruginosa,GCA_003969365.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,NA,CLSI,NA,NA,urine,USA,2013
Pseudomonas,aeruginosa,GCA_003969395.1,Susceptible,meropenem,<=,0.25,mg/L,Broth dilution,NA,CLSI,NA,NA,groin,USA,2010
Pseudomonas,aeruginosa,GCA_003969405.1,Susceptible,meropenem,==,2,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2010
Pseudomonas,aeruginosa,GCA_003969415.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,NA,CLSI,NA,NA,wound,USA,2010
Pseudomonas,aeruginosa,GCA_003969445.1,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,NA,CLSI,NA,NA,respiratory,USA,2010
Pseudomonas,aeruginosa,GCA_003969475.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,NA,CLSI,NA,NA,groin,USA,2010
