ARO	Gene Name	Antibiotic	AMR Gene Family	Drug Class	Resistance Mechanism
3004504	MCR-3.10	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004505	MCR-3.5	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004506	MCR-1.10	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004507	MCR-1.9	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004508	MCR-3.9	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004509	MCR-3.8	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004510	MCR-3.7	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004511	MCR-3.2	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004513	MCR-1.6	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004514	MCR-1.3	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004515	MCR-1.4	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004516	MCR-8.1	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004517	MCR-7.1	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004539	mphH	azithromycin	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
3004541	mphK	telithromycin, azithromycin	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
3004542	mphN	erythromycin	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
3004543	mphO	erythromycin	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
3004544	mphJ	erythromycin, telithromycin, tylosin	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
3004546	Campylobacter jejuni 23S rRNA with mutation conferring resistance to erythromycin	erythromycin	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
3004547	dfrA6	trimethoprim	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
3004548	dfrA9	trimethoprim	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
3004549	dfrB5	trimethoprim	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
3004550	dfrA27	trimethoprim	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
3004551	dfrA28	trimethoprim	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
3004552	dfrA30	trimethoprim	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
3004554	dfrA29	trimethoprim	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
3004555	dfrA32	trimethoprim	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
3004556	dfrB7	trimethoprim	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
3004559	CAM-1	cefoxitin, ceftazidime, meropenem, imipenem, doripenem, cefotaxime, ceftolozane	CAM beta-lactamase	carbapenem, cephalosporin, cephamycin, penam	antibiotic inactivation
3004561	Clostridioides difficile murG with mutation conferring resistance to vancomycin	vancomycin	murG transferase	glycopeptide antibiotic	antibiotic target alteration
3004562	Clostridioides difficile gyrB conferring resistance to fluoroquinolones	ciprofloxacin, levofloxacin, moxifloxacin, gemifloxacin	fluoroquinolone resistant gyrB	fluoroquinolone antibiotic	antibiotic target alteration
3004563	Clostridioides difficile rpoB with mutation conferring resistance to rifampicin	rifampin, rifaximin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration, antibiotic target replacement
3004568	dfrA18	trimethoprim	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
3004569	ICR-Mo	colistin A, colistin B	intrinsic colistin resistant phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004571	PNGM-1		PNGM beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004572	Staphylococcus aureus LmrS	erythromycin, streptomycin, kanamycin A, linezolid, trimethoprim, chloramphenicol, florfenicol	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic, aminoglycoside antibiotic, oxazolidinone antibiotic, diaminopyrimidine antibiotic, phenicol antibiotic	antibiotic efflux
3004573	Acinetobacter baumannii AbaF	fosfomycin	major facilitator superfamily (MFS) antibiotic efflux pump	phosphonic acid antibiotic	antibiotic efflux
3004574	Acinetobacter baumannii AbaQ	levofloxacin, nalidixic acid	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
3004577	Acinetobacter baumannii AmvA	erythromycin, acriflavine	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic, disinfecting agents and antiseptics	antibiotic efflux
3004578	Acinetobacter baumannii AbuO	amikacin, tigecycline, streptomycin, carbenicillin, ceftriaxone, meropenem, benzalkonium chloride, chlorhexidine	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic, carbapenem, cephalosporin, glycylcycline, penam, tetracycline antibiotic, disinfecting agents and antiseptics	antibiotic efflux
3004580	Klebsiella pneumoniae KpnE	erythromycin, streptomycin, tetracycline, cefepime, ceftriaxone, rifampin, colistin A, colistin B, triclosan, benzalkonium chloride, chlorhexidine	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic, aminoglycoside antibiotic, cephalosporin, tetracycline antibiotic, peptide antibiotic, rifamycin antibiotic, disinfecting agents and antiseptics	antibiotic efflux
3004581	tet(48)	tetracycline, oxytetracycline	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
3004582	tet(49)	tetracycline, oxytetracycline	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
3004583	Klebsiella pneumoniae KpnF	erythromycin, streptomycin, tetracycline, cefepime, ceftriaxone, rifampin, colistin A, colistin B, triclosan, benzalkonium chloride, chlorhexidine	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic, aminoglycoside antibiotic, cephalosporin, tetracycline antibiotic, peptide antibiotic, rifamycin antibiotic, disinfecting agents and antiseptics	antibiotic efflux
3004584	tet(50)	tetracycline, oxytetracycline	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
3004586	tet(51)	tetracycline, oxytetracycline	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
3004587	tet(52)	tetracycline, oxytetracycline	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
3004588	Klebsiella pneumoniae KpnG	erythromycin, gentamicin C, ciprofloxacin, spectinomycin, streptomycin, tobramycin, ceftazidime, ertapenem, piperacillin, azithromycin, imipenem, polymyxin B, polymyxin B1, polymyxin B2, polymyxin B3, polymyxin B4, norfloxacin, ticarcillin, gentamicin	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic, fluoroquinolone antibiotic, aminoglycoside antibiotic, carbapenem, cephalosporin, penam, peptide antibiotic, penem	antibiotic efflux
3004589	tet(53)	tetracycline, minocycline, oxytetracycline	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
3004590	tet(54)	tetracycline, oxytetracycline	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
3004591	tet(55)	tetracycline, minocycline, oxytetracycline	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
3004592	erm(32)	narbomycin, methymycin, pikromycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic	antibiotic target alteration
3004595	erm(45)	erythromycin, clindamycin, pristinamycin IA	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic, streptogramin B antibiotic	antibiotic target alteration
3004596	erm(46)	erythromycin, clarithromycin, azithromycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic	antibiotic target alteration
3004597	Klebsiella pneumoniae KpnH	erythromycin, gentamicin C, ciprofloxacin, spectinomycin, streptomycin, tobramycin, ceftazidime, ertapenem, piperacillin, azithromycin, imipenem, polymyxin B, polymyxin B1, polymyxin B2, polymyxin B3, polymyxin B4, norfloxacin, ticarcillin, gentamicin	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic, fluoroquinolone antibiotic, aminoglycoside antibiotic, carbapenem, cephalosporin, penam, peptide antibiotic, penem	antibiotic efflux
3004599	clcD	clindamycin, linezolid, florfenicol, quinupristin, tiamulin, dalfopristin, quinupristin-dalfopristin	Cfr 23S ribosomal RNA methyltransferase	lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, streptogramin B antibiotic, oxazolidinone antibiotic, phenicol antibiotic, pleuromutilin antibiotic	antibiotic target alteration
3004600	LnuH	lincomycin, clindamycin	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
3004601	LnuP	lincomycin	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
3004603	tet(56)	tetracycline, oxytetracycline	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
3004605	ermZ	spiramycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic	antibiotic target alteration
3004606	erm(40)	erythromycin, clarithromycin, clindamycin, spiramycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic	antibiotic target alteration
3004608	EreD	erythromycin	macrolide esterase	macrolide antibiotic	antibiotic inactivation
3004613	tet(47)	tetracycline, oxytetracycline	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
3004615	ADC-11		ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
3004616	Mycoplasma genitalium 23S rRNA mutations confers resistance to fluoroquinolone and macrolide antibiotics	moxifloxacin, azithromycin	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic, fluoroquinolone antibiotic	antibiotic target alteration
3004617	ADC-30		ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
3004618	ADC-58		ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
3004619	ADC-59		ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
3004620	ADC-60		ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
3004621	AAC(3)-IIe	dibekacin, sisomicin, netilmicin, tobramycin, 6'-N-ethylnetilmicin, 2'-N-ethylnetilmicin, gentamicin	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
3004622	QnrS10	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3004623	AAC(3)-IId	dibekacin, sisomicin, netilmicin, tobramycin, 6'-N-ethylnetilmicin, 2'-N-ethylnetilmicin, gentamicin	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
3004624	QnrS11	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3004625	QnrS12	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3004626	Erm(49)	erythromycin, clindamycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic	antibiotic target alteration
3004627	QnrS15	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3004628	AAC(2')-IIa	kasugamycin	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
3004629	AAC(6')-Im	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3004630	Mycoplasma genitalium parC mutations confers resistance to Moxifloxacin	moxifloxacin	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
3004631	Mycoplasma genitalium gyrA mutation confers resistance to fluoroquinolones	moxifloxacin	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
3004632	ADC-62		ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
3004633	ADC-67		ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
3004634	ADC-73		ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
3004635	AAC(6')-Il	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3004636	qnrE1	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3004637	qnrE2	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3004638	AAC(6')-I-48	dibekacin, amikacin, sisomicin, netilmicin, tobramycin, 2'-N-ethylnetilmicin, 5-episisomicin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3004639	Corynebacterium striatum tetA	tetracycline, oxacillin, oxytetracycline	major facilitator superfamily (MFS) antibiotic efflux pump	penam, tetracycline antibiotic	antibiotic efflux
3004640	dfrA15b	trimethoprim	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
3004641	AAC(6')-I-43	kanamycin A, tobramycin	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
3004642	dfrA3b	trimethoprim	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
3004643	Erm(K)	erythromycin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic	antibiotic target alteration
3004644	dfrA6 from Proteus mirabilis	trimethoprim	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
3004645	dfrI	trimethoprim	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
3004647	AQU-2		AQU beta-lactamase	cephalosporin	antibiotic inactivation
3004648	AQU-3		AQU beta-lactamase	cephalosporin	antibiotic inactivation
3004649	cfr(B)	clindamycin, linezolid, chloramphenicol	Cfr 23S ribosomal RNA methyltransferase	lincosamide antibiotic, streptogramin antibiotic, oxazolidinone antibiotic, phenicol antibiotic	antibiotic target alteration
3004651	lin	lincomycin	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
3004652	Erm(O)-lrm	erythromycin, lincomycin, tylosin	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic, lincosamide antibiotic, streptogramin antibiotic	antibiotic target alteration
3004654	Clostridioides difficile 23S rRNA with mutation conferring resistance to erythromycin and clindamycin	erythromycin, clindamycin	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic, lincosamide antibiotic	antibiotic target alteration
3004655	nimB	metronidazole	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
3004656	catII from Escherichia coli K-12	chloramphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3004657	catA4	chloramphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3004658	catA8	chloramphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3004659	Mef(En2)	lincomycin	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic, lincosamide antibiotic	antibiotic efflux
3004660	catB11	chloramphenicol	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
3004661	Staphylococcus aureus FosB	fosfomycin	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
3004662	MCR-3.3	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004663	FusF	fusidic acid	Target protecting FusB-type protein conferring resistance to Fusidic acid	fusidane antibiotic	antibiotic target protection
3004665	cmlA8	chloramphenicol	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
3004666	pexA	chloramphenicol, florfenicol	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
3004667	Staphylococcus aureus norA	enoxacin, ciprofloxacin, norfloxacin, ofloxacin	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
3004668	QnrAS	ciprofloxacin, levofloxacin, moxifloxacin, gatifloxacin, nalidixic acid, norfloxacin, sparfloxacin	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
3004669	emtA	evernimicin	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic, lincosamide antibiotic, orthosomycin antibiotic	antibiotic target alteration
3004670	FosB1	fosfomycin	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
3004671	FosB4	fosfomycin	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
3004672	FosB5	fosfomycin	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
3004673	FosB6	fosfomycin	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
3004674	FosD	fosfomycin	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
3004675	aphA15	neomycin, amikacin, netilmicin, streptomycin, kanamycin A	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
3004677	rmtD2	amikacin, netilmicin, kanamycin A, tobramycin, gentamicin A, gentamicin	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
3004678	rmtE	amikacin, gentamicin A, gentamicin	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
3004679	rmtE2	amikacin, kanamycin A, gentamicin A, gentamicin	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
3004680	APH(3')-VIIIa	amikacin, kanamycin A	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
3004681	Clostridioides difficile rpoC with mutation conferring resistance to vancomycin	vancomycin	vancomycin-resistant beta prime subunit of RNA polymerase (rpoC)	glycopeptide antibiotic	antibiotic target alteration
3004682	aadA27	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3004683	aadS	streptomycin	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
3004684	MCR-9.1	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004685	MCR-1.5	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004686	MCR-1.7	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004687	MCR-1.8	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004688	MCR-1.11	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004689	MCR-1.12	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004690	MCR-1.13	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004691	MCR-3.4	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004692	aadA10	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3004693	MCR-3.12	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004694	MCR-4.2	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004695	MCR-4.3	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004696	MCR-4.4	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004697	MCR-4.5	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004698	MCR-5.2	colistin A, colistin B	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
3004699	sta	streptothricin	streptothricin acetyltransferase (SAT)	nucleoside antibiotic	antibiotic inactivation
3004704	aadA8b	spectinomycin, streptomycin	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
3004715	vga(E) Staphylococcus cohnii	lincomycin, clindamycin, virginiamycin M1, tiamulin, retapamulin, valnemulin	vga-type ABC-F protein	lincosamide antibiotic, streptogramin antibiotic, streptogramin A antibiotic, pleuromutilin antibiotic	antibiotic target protection
3004719	tet(X3)	tigecycline, tetracycline	tetracycline inactivation enzyme	glycylcycline, tetracycline antibiotic	antibiotic inactivation
3004720	tet(X4)	tigecycline, tetracycline	tetracycline inactivation enzyme	glycylcycline, tetracycline antibiotic	antibiotic inactivation
3004721	Mycobacterium tuberculosis rpsA mutations conferring resistance to pyrazinamide	pyrazinamide	pyrazinamide resistant rpsA	pyrazine antibiotic	antibiotic target alteration
3004730	tva(A)	pleuromutilin	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	pleuromutilin antibiotic	antibiotic target protection
3004734	ARL-1		ARL Beta-lactamase	penam	antibiotic inactivation
3004735	ARL-2		ARL Beta-lactamase	penam	antibiotic inactivation
3004736	ARL-3		ARL Beta-lactamase	penam	antibiotic inactivation
3004737	ARL-4		ARL Beta-lactamase	penam	antibiotic inactivation
3004738	ARL-5		ARL Beta-lactamase	penam	antibiotic inactivation
3004739	ARL-6		ARL Beta-lactamase	penam	antibiotic inactivation
3004740	AST-1		AST Beta-lactamase	cephalosporin, penam	antibiotic inactivation
3004745	MIR-23		MIR beta-lactamase	monobactam, cephalosporin	antibiotic inactivation
3004747	BAT-1		BAT Beta-lactamase	cephalosporin	antibiotic inactivation
3004749	BCL-1		BCL Beta-lactamase	penam	antibiotic inactivation
3004751	BES-1		BES Beta-lactamase	penam	antibiotic inactivation
3004753	BIC-1		BIC Beta-lactamase	carbapenem	antibiotic inactivation
3004755	BIL-1		BIL Beta-lactamase	cephalosporin	antibiotic inactivation
3004757	BKC-1		BKC Beta-lactamase	carbapenem	antibiotic inactivation
3004759	BPU-1		BPU Beta-lactamase	penam	antibiotic inactivation
3004761	BRO-1		BRO Beta-lactamase	penam	antibiotic inactivation
3004762	BRO-2		BRO Beta-lactamase	penam	antibiotic inactivation
3004764	CBP-1		CBP beta-lactamase	penam	antibiotic inactivation
3004766	CGA-1		CGA beta-lactamase	penam	antibiotic inactivation
3004768	CIA-1		CIA beta-lactamase	carbapenem, cephalosporin	antibiotic inactivation
3004769	CIA-2		CIA beta-lactamase	carbapenem, cephalosporin	antibiotic inactivation
3004770	CIA-3		CIA beta-lactamase	carbapenem, cephalosporin	antibiotic inactivation
3004771	CIA-4		CIA beta-lactamase	carbapenem, cephalosporin	antibiotic inactivation
3004773	CKO-1		CKO beta-lactamase	penam	antibiotic inactivation
3004775	CME-1		CME beta-lactamase	penam	antibiotic inactivation
3004777	CMH-1		CMH beta-lactamase	cephalosporin	antibiotic inactivation
3004778	CMY-135		CMY beta-lactamase	cephamycin	antibiotic inactivation
3004780	DES-1		DES beta-lactamase	penam	antibiotic inactivation
3004782	ERP-1		ERP beta-lactamase	penam	antibiotic inactivation
3004784	FAR-1		FAR beta-lactamase	penam	antibiotic inactivation
3004786	FIM-1		FIM beta-lactamase	carbapenem, cephalosporin	antibiotic inactivation
3004788	FONA-1		FONA beta-lactamase	penam	antibiotic inactivation
3004789	FONA-2		FONA beta-lactamase	penam	antibiotic inactivation
3004790	FONA-3		FONA beta-lactamase	penam	antibiotic inactivation
3004791	FONA-4		FONA beta-lactamase	penam	antibiotic inactivation
3004792	FONA-5		FONA beta-lactamase	penam	antibiotic inactivation
3004793	FONA-6		FONA beta-lactamase	penam	antibiotic inactivation
3004795	FPH-1		FPH beta-lactamase	penam	antibiotic inactivation
3004797	FRI-1		FRI beta-lactamase	penam	antibiotic inactivation
3004798	FRI-2		FRI beta-lactamase	penam	antibiotic inactivation
3004799	FRI-3		FRI beta-lactamase	penam	antibiotic inactivation
3004801	FTU-1		FTU beta-lactamase	penam	antibiotic inactivation
3004802	GOB-10		GOB beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004803	GOB-11		GOB beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004804	GOB-12		GOB beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004805	GOB-13		GOB beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004806	GOB-14		GOB beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004807	GOB-15		GOB beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004808	GOB-16		GOB beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004809	GOB-2		GOB beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004810	GOB-3		GOB beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004811	GOB-4		GOB beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004812	GOB-5		GOB beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004813	GOB-6		GOB beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004814	GOB-7		GOB beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004815	GOB-8		GOB beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004816	GOB-9		GOB beta-lactamase	carbapenem, cephalosporin, penam	antibiotic inactivation
3004817	HERA-2		HERA beta-lactamase	penam	antibiotic inactivation
3004818	HERA-3		HERA beta-lactamase	penam	antibiotic inactivation
3004819	HERA-4		HERA beta-lactamase	penam	antibiotic inactivation
3004820	HERA-5		HERA beta-lactamase	penam	antibiotic inactivation
3004821	HERA-6		HERA beta-lactamase	penam	antibiotic inactivation
3004822	HERA-8		HERA beta-lactamase	penam	antibiotic inactivation
3004823	IMP-52		IMP beta-lactamase	carbapenem, cephalosporin, cephamycin, penam, penem	antibiotic inactivation
3004825	LAP-1	cefepime, cefuroxime, amoxicillin, piperacillin, benzylpenicillin, cefalotin, ticarcillin	LAP beta-lactamase	cephalosporin, penam, penem	antibiotic inactivation
3004826	LAP-2	cefepime, cefuroxime, amoxicillin, piperacillin, benzylpenicillin, cefalotin, ticarcillin	LAP beta-lactamase	cephalosporin, penam, penem	antibiotic inactivation
3004827	LEN-35		LEN beta-lactamase	penam, penem	antibiotic inactivation
3004828	LEN-36		LEN beta-lactamase	penam, penem	antibiotic inactivation
3004829	LEN-37		LEN beta-lactamase	penam, penem	antibiotic inactivation
